chr1_50	1000000	1000000	434536	0.434536	0.434536
chr1_61	1000000	1000000	536514	0.536514	0.536514
chr1_63	999999	999999	659917	0.659918	0.659918
chr1_68	1000000	1000000	684464	0.684464	0.684464
chr1_69	1000000	1000000	584245	0.584245	0.584245
chr1_70	1000000	1000000	554154	0.554154	0.554154
chr1_71	1000000	1000000	491030	0.49103	0.49103
chr1_72	1000000	1000000	504190	0.50419	0.50419
chr1_73	1000000	1000000	378874	0.378874	0.378874
chr1_74	1000001	1000001	319922	0.319922	0.319922
chr1_75	1000000	1000000	462745	0.462745	0.462745
chr1_76	1000001	1000001	427675	0.427675	0.427675
chr1_77	1000000	1000000	726296	0.726296	0.726296
chr1_78	999999	999999	1.05743e+06	1.05743	1.05743
chr1_79	1000001	1000001	396191	0.39619	0.39619
chr1_80	1000000	1000000	315451	0.315451	0.315451
chr1_81	1000000	1000000	269602	0.269602	0.269602
chr1_82	999999	999999	461958	0.461959	0.461959
chr1_83	999999	999999	392539	0.392539	0.392539
chr1_84	1000000	1000000	500612	0.500612	0.500612
chr1_85	1000000	1000000	859378	0.859378	0.859378
chr1_86	1000000	1000000	570778	0.570778	0.570778
chr1_87	1000000	1000000	594805	0.594805	0.594805
chr1_89	1000000	1000000	627688	0.627688	0.627688
chr1_90	999876	999876	1.02958e+06	1.02971	1.02971
chr1_91	999998	999998	431143	0.431144	0.431144
chr1_93	1000000	1000000	759448	0.759448	0.759448
chr1_94	999999	999999	736139	0.73614	0.73614
chr1_96	1000000	1000000	569356	0.569356	0.569356
chr1_97	1000000	1000000	536555	0.536555	0.536555
chr1_98	1000000	1000000	577330	0.57733	0.57733
chr1_99	1000000	1000000	431352	0.431352	0.431352
chr1_100	1000000	1000000	509975	0.509975	0.509975
chr1_101	1000000	1000000	595756	0.595756	0.595756
chr1_102	1000000	1000000	490348	0.490348	0.490348
chr1_103	1000000	1000000	275835	0.275835	0.275835
chr1_105	1000000	1000000	260067	0.260067	0.260067
chr1_106	1000000	1000000	246393	0.246393	0.246393
chr1_107	1000000	1000000	302521	0.302521	0.302521
chr1_108	1000000	1000000	495415	0.495415	0.495415
chr1_109	1000000	1000000	709603	0.709603	0.709603
chr1_114	1000000	1000000	696584	0.696584	0.696584
chr1_115	999999	999999	614025	0.614025	0.614025
chr1_116	1000000	1000000	637382	0.637382	0.637382
chr1_118	1000001	1000001	671871	0.67187	0.67187
chr1_119	1000000	1000000	343366	0.343366	0.343366
chr1_120	1000000	1000000	717667	0.717667	0.717667
chr1_153	1000000	1000000	407473	0.407473	0.407473
chr1_158	999998	999998	540913	0.540914	0.540914
chr1_159	1000000	1000000	445769	0.445769	0.445769
chr1_160	1000000	1000000	589555	0.589555	0.589555
chr1_161	1000000	1000000	1.25738e+06	1.25738	1.25738
chr1_164	999447	999447	527167	0.527459	0.527459
chr1_165	1000000	1000000	768539	0.768539	0.768539
chr1_167	1000000	1000000	645429	0.645429	0.645429
chr1_170	999903	999903	750017	0.75009	0.75009
chr1_171	1000000	1000000	497242	0.497242	0.497242
chr1_172	999999	999999	746527	0.746528	0.746528
chr1_173	1000000	1000000	598644	0.598644	0.598644
chr1_174	999998	999998	578885	0.578886	0.578886
chr1_175	999998	999998	690139	0.69014	0.69014
chr1_177	1000000	1000000	539247	0.539247	0.539247
chr1_179	1000000	1000000	664137	0.664137	0.664137
chr1_180	1000000	1000000	679786	0.679786	0.679786
chr1_186	1000000	1000000	526163	0.526163	0.526163
chr1_187	1000000	1000000	427489	0.427489	0.427489
chr1_188	999999	999999	307674	0.307675	0.307675
chr1_189	1000000	1000000	251057	0.251057	0.251057
chr1_190	999999	999999	242666	0.242666	0.242666
chr1_191	1000000	1000000	309372	0.309372	0.309372
chr1_192	1000000	1000000	297217	0.297217	0.297217
chr1_193	1000000	1000000	412220	0.41222	0.41222
chr1_194	1000000	1000000	493600	0.4936	0.4936
chr1_195	1000000	1000000	322463	0.322463	0.322463
chr1_196	1000000	1000000	286997	0.286997	0.286997
chr1_197	1000000	1000000	315336	0.315336	0.315336
chr1_198	1000000	1000000	456982	0.456982	0.456982
chr1_199	999999	999999	531514	0.531515	0.531515
chr1_200	999999	999999	423909	0.42391	0.42391
chr1_201	1000000	1000000	795111	0.795111	0.795111
chr1_208	1000000	1000000	833894	0.833894	0.833894
chr1_214	1000001	1000001	676814	0.676814	0.676814
chr1_215	1000000	1000000	672562	0.672562	0.672562
chr1_216	999999	999999	397143	0.397144	0.397144
chr1_217	1000000	1000000	441615	0.441615	0.441615
chr1_218	1000000	1000000	447855	0.447855	0.447855
chr1_219	1000000	1000000	516455	0.516455	0.516455
chr1_220	1000000	1000000	519413	0.519413	0.519413
chr1_221	1000000	1000000	651302	0.651302	0.651302
chr1_222	1000000	1000000	637480	0.63748	0.63748
chr1_223	1000000	1000000	571964	0.571964	0.571964
chr1_226	999999	999999	990681	0.990682	0.990682
chr1_234	1000000	1000000	740813	0.740813	0.740813
chr1_238	1000000	1000000	589614	0.589614	0.589614
chr1_239	1000000	1000000	408304	0.408304	0.408304
chr1_240	1000000	1000000	590542	0.590542	0.590542
chr1_241	1000000	1000000	625517	0.625517	0.625517
chr1_242	1000002	1000002	725191	0.72519	0.72519
chr1_243	1000000	1000000	612204	0.612204	0.612204
chr1_248	1000000	1000000	542015	0.542015	0.542015
chr2_6	999999	999999	484121	0.484122	0.484122
chr2_7	999999	999999	706429	0.70643	0.70643
chr2_8	1000000	1000000	715830	0.71583	0.71583
chr2_13	999999	999999	724123	0.724124	0.724124
chr2_15	999999	999999	473135	0.473136	0.473136
chr2_18	999999	999999	637130	0.637131	0.637131
chr2_19	1000007	1000007	503543	0.503539	0.503539
chr2_20	1018488	1018488	616664	0.60547	0.60547
chr2_23	1000000	1000000	433673	0.433673	0.433673
chr2_32	1002203	1002203	599408	0.598091	0.598091
chr2_35	1000000	1000000	452146	0.452146	0.452146
chr2_36	1002073	1002073	311681	0.311036	0.311036
chr2_38	1000000	1000000	649115	0.649115	0.649115
chr2_41	1000000	1000000	468618	0.468618	0.468618
chr2_42	1000000	1000000	528306	0.528306	0.528306
chr2_52	1000000	1000000	345075	0.345075	0.345075
chr2_53	1000000	1000000	328203	0.328203	0.328203
chr2_54	999999	999999	688387	0.688388	0.688388
chr2_57	1000000	1000000	438842	0.438842	0.438842
chr2_58	1000000	1000000	372541	0.372541	0.372541
chr2_59	1000000	1000000	657711	0.657711	0.657711
chr2_60	1000000	1000000	491090	0.49109	0.49109
chr2_61	1000000	1000000	728139	0.728139	0.728139
